REDE CREDENCIADA 2026,,,,,,,
Epecialidade,Viver,Particular,Diferença,Telefone,Local,Endereço,Incluso
"Fonoaudiologia Gastroenterologia
Gastroenterologia","R$ 105,00
R$ 180,00
R$ 220,00","-
R$ 400,00
R$ 500,00","-
R$ 220,00
R$ 280,00","(47)3207-2192
(47) 3305-8999
(47) 3433-6620","Espaço Stimuli Multidisciplinar Clínica Voe Saúde
GastroCentro","Rua Tuiuti, 2236 – Sala 302 ,Edifício Mário Muraro (anexo à Cactus Calçados) Rua Tuiuti, 2295 - Sala 201, Joinville/SC
R. Dr. Roberto Koch, 60 - Atiradores, Joinville - SC, 89203-088","Valor de R$ 105,00 consulta avulsa
Consulta/Dr Ricardo Lemos idade mínima 15 anos e Dr guilherme mínimo 17 anos"
"Gastroenterologia Gastroenterologia Gastroenterologia
Gastroenterologia cirurgia","R$ 170,00 R$220,00 R$ 350,00
R$ 180,00","R$ 145,00
R$ 500,00
R$ 500,00
R$ 450,00","R$ 25,00
R$ 280,00
R$ 150,00
R$ 270,00","(47) 9154-7004
(47) 3422-4545
(47) 3207-2770
(47) 3422-1602","Clínica Atend já Pró Gastro
Clínica Pequenos Anjos
Instituto de Cirurgia de Joinville","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Alexandre Döhler, 129 - 6° Andar - Centro, Joinville - SC, 89201-260
Rua Expedicionário Holz, 550 – 9º andar, sala 910 – Bairro Atiradores, Joinville/SC Endereço: Ed. Terraço Center, R. Mário Lobo, 61 - Sala 804 - Centro, Joinville - SC.",
"Gastroenterologia cirurgia
Ginecologia Ginecologia","R$ 450,00
R$180,00 R$ 200,00","R$ 250,00
R$ 400,00
R$ 350,00","R$ 200,00
R$ 220,00
R$ 150,00","(47) 3842-3978
(47) 3305-8999
(47) 3842-3978","Nova Medical Center
Clínica Voe Saúde Nova Medical Center","Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Rua Tuiuti, 2295 - Sala 201, Joinville/SC
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC","Valor de R$180 +R$80 com preventivo. Valor de R$300,00 + 65,00 Preventivo"
"Ginecologia Ginecologia Ginecologia
Hematologista","R$145,00 R$ 170,00 R$200,00
R$ 250,00","R$ 170,00
R$ 300,00
R$ 450,00
R$ 450,00","R$ 25,00
R$ 130,00
R$ 250,00
R$ 200,00","(47) 9154-7004
(47) 3422-2611
(47) 3433-8455
(47) 3842-3978","Clínica Atend já Clínica Pró Mulher
Ginemedic Clínica de Ginecologia
Nova Medical Center","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Abdon Batista, 47 - 5 andar - Centro, Joinville
Rua Alexandre Dohler nº 129, Centro médico União, 5 andar, 506.Centro, Joinville/SC Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC","Valor de R$145,00 (dinheiro, débito, crédito e pix)
Valor de R$ 200,00 (somente dinheiro) OK"
"Infectologista
Medicina da Família Medicina da Família","R$200,00
R$155,00 R$200,00","R$ 450,00
R$ 380,00
R$ 400,00","R$ 250,00
R$ 225,00
R$ 200,00","(47) 3842-3978
(47) 3305-8999
(47) 3842-3978","Nova Medical Center
Clínica Voe Saúde Nova Medical Center","Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Rua Tuiuti, 2295 - Sala 201, Joinville/SC
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC",Consulta sem idade mínima
"Mastologista Nefrologista Nefrologista
Neuro-psicólogoca","R$180,00 R$ 150,00
R$ 200,00
R$ 170,00","R$ 450,00
R$ 400,00
R$ 400,00
R$ 500,00","R$ 270,00
R$ 250,00
R$ 200,00
R$ 330,00","(47) 3422-1602
(47) 3431-3800
(47) 3842-3978
(47) 3026-6740","Instituto de Cirurgia de Joinville Fundação Prórim
Nova Medical Center
Instituto de Psicologia Fronteiras Gestálticas","Endereço: Ed. Terraço Center, R. Mário Lobo, 61 - Sala 804 - Centro, Joinville - SC. Rua Xavier Arp nº 30, Iririú, Joinville/SC
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC
Rua Teresina nº 128, Saguaçu, Joinville/SC","Pele Cancerologia Cirúrgica,Cirurgia do Fígado,Cirurgia do Aparelho Digestivo"
"Neurologia Neurologia
Neurologia","R$ 250,00
R$ 280,00 R$190,00","R$ 400,00
R$ 400,00
R$ 220,00","R$ 200,00
R$ 220,00
R$ 30,00","(47) 3451-2525
(47) 3842-3978
(47) 9154-7004","Clínica Neurológica Nova Medical Center
Clínica Atend já","Endereço: R. Miguel Couto, 133 - Anita Garibaldi, Joinville - SC, 89202-190
Avenida Rolf Wiest 333 (SUBSL S19) | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260",
"Nutricionista Nutricionista Nutricionista
Nutricionista","R$ 90,00 R$75,00 R$ 80,00
R$230,00","R$ 110,00
R$ 200,00
R$ 140,00
R$ 400,00","R$ 20,00
R$ 125,00
R$ 60,00
R$ 170,00","(47) 9154-7004
(47) 9960-7332
(47) 99193-2506
(47) 3422-3666","Clínica Atend já Clínica Fisioser Clínica Integrar
Curumim Especialidades","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260 Rua Adriano Schondermank nº 378, Costa e Silva, Joinville/SC
Rua Abdon Batista nº 121, Centro, Joinville/SC
Rua Blumenau nº 314, América, Joinville/SC",Retorno para essa especialide é pago
Nutricionista,"R$ 150,00","R$ 300,00","R$ 150,00",(47) 3842-3978,Nova Medical Center,Avenida Rolf Wiest 333 (SUBSL S19) | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC,
Odontologia,Tabela Especial,-,-,,Clínica Sollares,"Rua Assis Brasil, 47, sala 02 Saguaçu, Joinville/SC",
"Odontologia
Odontologia Odontologia","Tabela Especial
Tabela Especial Tabela Especial","-
-
-","-
-
-",(47) 99717-3634,"Ciclo Odontologia Premier Implant
Dental Med Clínica Integrada","R. Tuiuti, 2295 - Aventureiro, Joinville (atrás da Caixa Econômica Federal) Rua Mário Lobo, 221 - Centro, Joinville
Rua Dr.Plácido Olimpio de Oliveira 1390 - Anita Garibaldi",
"Odontologia Odontologia
Odontologia","Tabela Especial Tabela Especial
Tabela Especial","-
-
-","-
-
-",,"Clínica All Care Consultório Dr. Leonard Melchert
Borek Odontologia","R. Abdon Batista, 47 - 3º Andar sala 303 - Edificio São Marcos - Centro, Joinville - SC Rua Lages nº 473 - Sala 104, Centro, Joinville/SC
Orestes Guimarães 1153 América, Joinville/SC",
Oftalmologia,"R$150,00","R$ 300,00","R$ 150,00",(47) 3026-1122,Núcleo Oftalmológico,"Rua Abdon Batista nº 47, Centro, Joinville/SC",APARTIR DE DE 7 ANOS
"Oftalmologia Oftalmologia
Oftalmologia","R$150,00 R$240,00
R$200,00","R$ 170,00 R$590,00
R$ 500,00","R$ 20,00
R$ 250,00
R$ 300,00","(47) 9154-7004
(47) 3481-5333
47 3027-4040","Clinica Atende já
Hospital de Olhos Sadalla Amin Ghanem Visiocentro","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Camboriú, 35 - Glória, Joinville - SC, 89216-222
Rua Henrique Meyer 280 Salas 1208, 1209, 1210 - Centro, Joinville - SC",
"Oftalmologia Oftalmologia
Oftalmologia","R$ 160,00
R$ 165,00
R$ 200,00","R$ 400,00
R$ 290,00
R$ 450,00","R$ 240,00
R$ 125,00
R$ 250,00","(47) 3422-3623
(47) 3033-5400
(47) 3842-3978","Clínica Ophtalmus
Dr . Vis Centro Oftalmológico Nova Medical Center","Endereço. R. Blumenau, 178 - Sobreloja - Sala 8 - Centro, Joinville - SC, Endereço.R. Iririú, 1005 - Saguaçu, Joinville - SC, 89221-515
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC",
Ótica,Até 20% de desconto,-,-,,Ótica Luiza,"R. Abdon Batista, 76 - Centro, Joinville - SC, 89201-010",
"Ótica
Ótica Oncologia","Até 20% de desconto
Até 20% de desconto R$ 200,00","-
-
R$ 400,00","-
-
R$ 200,00",(47 )3441-4017,"Ótica Regional
Ótica Diniz Clínica Corb","R. Albano Schmidt, 4182 - Sala 1 - Comasa, Joinville - SC, 89205-101
R. Tuiuti, 2295 - Aventureiro, Joinville - SC, 89226-000 Rua Orestes Guimarães nº 905, América, Joinville/SC",
"Ortopedia Ortopedia
Ortopedia","R$180,00 R$200,00
R$ 145,00","R$ 400,00
R$ 450,00
R$ 160,00","R$ 120,00
R$ 250,00
R$ 15,00","(47) 3305-8999
(47) 3433-2020
(47) 9154-7004","Clínica Voe Saúde Clínica IOT
Clínica Atend já","Rua Tuiuti, 2295 - Sala 201, Joinville/SC Rua Blumenau nº 1316, América, Joinville/SC
R. Alexandre Döher, 331 - Centro, Joinville - SC, 89201-260",Consulta com Dr Luciano Mínimo de 16 anos
